Country Name (CN),Observation Months 1 (OM1),Administered Vaccine on OM1 (VOM1),Observation Months 2 (OM2),Administered Vaccine on OM2 (VOM2),Difference of totals (VOM1-VOM2)
Afghanistan,04/2022,5872684,05/2022,12044893,6172209
Africa,04/2022,4007400078,05/2022,4264946565,257546487
Albania,04/2022,5554149,05/2022,2825500,-2728649
Algeria,04/2022,,05/2022,15205854,
Andorra,04/2022,,05/2022,152694,
Angola,04/2022,,05/2022,,
Anguilla,04/2022,23126,05/2022,23378,252
Antigua and Barbuda,04/2022,,05/2022,,
Argentina,04/2022,878746851,05/2022,899094399,20347548
Armenia,04/2022,2141957,05/2022,,
Aruba,04/2022,1017238,05/2022,852282,-164956
Asia,04/2022,70040713670,05/2022,71843377766,1802664096
Australia,04/2022,509223773,05/2022,520655854,11432081
Austria,04/2022,36643536,05/2022,18426752,-18216784
Azerbaijan,04/2022,94597173,05/2022,95619328,1022155
Bahamas,04/2022,,05/2022,,
Bahrain,04/2022,3426136,05/2022,6872600,3446464
Bangladesh,04/2022,1264779058,05/2022,,
Barbados,04/2022,1875460,05/2022,2197434,321974
Belarus,04/2022,11778178,05/2022,12495345,717167
Belgium,04/2022,226775835,05/2022,227195510,419675
Belize,04/2022,468692,05/2022,473152,4460
Benin,04/2022,3112919,05/2022,6666900,3553981
Bermuda,04/2022,259427,05/2022,,
Bhutan,04/2022,1804259,05/2022,1907509,103250
Bolivia,04/2022,118487043,05/2022,121323624,2836581
Botswana,04/2022,,05/2022,3839965,
Brazil,04/2022,2931767381,05/2022,3880652926,948885545
British Virgin Islands,04/2022,40697,05/2022,40872,175
Brunei,04/2022,2163033,05/2022,1124061,-1038972
Bulgaria,04/2022,26154287,05/2022,35083484,8929197
Burkina Faso,04/2022,2440917,05/2022,5857978,3417061
Burundi,04/2022,11083,05/2022,25115,14032
Cambodia,04/2022,333496234,05/2022,38390702,-295105532
Cameroon,04/2022,1820196,05/2022,,
Canada,04/2022,741288377,05/2022,758919764,17631387
Cape Verde,04/2022,,05/2022,1508991,
Cayman Islands,04/2022,,05/2022,143196,
Central African Republic,04/2022,,05/2022,1037580,
Chad,04/2022,2291152,05/2022,,
